word,pos
abrupt,adjective
accurate,adjective
adjacent,adjective
adverse,adjective
analog,adjective
anisotropic,adjective
applicable,adjective
arbitrary,adjective
asymptotic,adjective
autonomous,adjective
axial,adjective
balanced,adjective
brittle,adjective
causal,adjective
coherent,adjective
cohesive,adjective
coincident,adjective
compatible,adjective
compressive,adjective
computational,adjective
concurrent,adjective
conductive,adjective
confined,adjective
consistent,adjective
constitutive,adjective
continuous,adjective
controllable,adjective
conventional,adjective
corresponding,adjective
critical,adjective
cumulative,adjective
cyclic,adjective
deformable,adjective
dense,adjective
deterministic,adjective
differential,adjective
dimensionless,adjective
discrete,adjective
distributed,adjective
dominant,adjective
ductile,adjective
dynamic,adjective
elastic,adjective
electromagnetic,adjective
empirical,adjective
equivalent,adjective
exponential,adjective
feasible,adjective
finite,adjective
frictional,adjective
functional,adjective
homogeneous,adjective
hybrid,adjective
ideal,adjective
identical,adjective
incremental,adjective
independent,adjective
induced,adjective
inert,adjective
inherent,adjective
initial,adjective
integral,adjective
interactive,adjective
intrinsic,adjective
isotropic,adjective
iterative,adjective
laminar,adjective
lateral,adjective
linear,adjective
logarithmic,adjective
longitudinal,adjective
macroscopic,adjective
marginal,adjective
mechanical,adjective
microscopic,adjective
minimal,adjective
modular,adjective
multivariate,adjective
mutual,adjective
nonlinear,adjective
numerical,adjective
objective,adjective
optimal,adjective
orthogonal,adjective
parallel,adjective
parametric,adjective
periodic,adjective
peripheral,adjective
plastic,adjective
porous,adjective
predictive,adjective
preliminary,adjective
primary,adjective
principal,adjective
probabilistic,adjective
progressive,adjective
proportional,adjective
prospective,adjective
radial,adjective
random,adjective
reciprocal,adjective
redundant,adjective
relative,adjective
reliable,adjective
residual,adjective
resilient,adjective
robust,adjective
rotational,adjective
scalable,adjective
selective,adjective
sequential,adjective
shear,adjective
singular,adjective
spatial,adjective
stable,adjective
stochastic,adjective
structural,adjective
subsequent,adjective
symmetric,adjective
synchronous,adjective
tangential,adjective
temporal,adjective
tensile,adjective
thermal,adjective
transient,adjective
uniform,adjective
unilateral,adjective
variable,adjective
vectorial,adjective
viscous,adjective
volatile,adjective
accelerate,verb
accommodate,verb
accumulate,verb
activate,verb
adapt,verb
adhere,verb
aggregate,verb
allocate,verb
amplify,verb
anticipate,verb
approximate,verb
assemble,verb
attenuate,verb
automate,verb
calibrate,verb
cohere,verb
collide,verb
compensate,verb
compile,verb
compress,verb
compute,verb
concentrate,verb
condense,verb
conduct,verb
configure,verb
consolidate,verb
constrain,verb
construct,verb
consume,verb
contaminate,verb
converge,verb
convert,verb
correlate,verb
crystallize,verb
curtail,verb
decelerate,verb
decompose,verb
deform,verb
degrade,verb
delineate,verb
demonstrate,verb
denote,verb
derive,verb
designate,verb
detect,verb
deviate,verb
diffuse,verb
diminish,verb
disperse,verb
dissipate,verb
distort,verb
diverge,verb
eliminate,verb
embed,verb
emit,verb
enclose,verb
enhance,verb
enumerate,verb
equate,verb
evaporate,verb
evolve,verb
exceed,verb
exclude,verb
expand,verb
exploit,verb
expose,verb
fabricate,verb
facilitate,verb
fluctuate,verb
formulate,verb
fuse,verb
generate,verb
govern,verb
homogenize,verb
hypothesize,verb
illuminate,verb
immerse,verb
implement,verb
induce,verb
infer,verb
inhibit,verb
inject,verb
insert,verb
integrate,verb
interfere,verb
interpolate,verb
invert,verb
isolate,verb
justify,verb
maintain,verb
manipulate,verb
maximize,verb
mediate,verb
migrate,verb
minimize,verb
mitigate,verb
modify,verb
monitor,verb
neutralize,verb
normalize,verb
notify,verb
optimize,verb
oscillate,verb
partition,verb
penetrate,verb
perceive,verb
persist,verb
perturb,verb
postulate,verb
predict,verb
preserve,verb
process,verb
propagate,verb
quantify,verb
radiate,verb
randomize,verb
react,verb
reconcile,verb
reconstruct,verb
redesign,verb
redistribute,verb
refine,verb
regulate,verb
reinforce,verb
replicate,verb
resolve,verb
restrain,verb
retain,verb
retrieve,verb
reverse,verb
rotate,verb
saturate,verb
simulate,verb
specify,verb
stabilize,verb
stimulate,verb
substitute,verb
suppress,verb
sustain,verb
synthesize,verb
transform,verb
transmit,verb
truncate,verb
validate,verb
verify,verb
withstand,verb
